FullSibshipIndex,Prob(Inc.),Prob(Exc.),Member1,Member2,Member3,Member4,Member5,Member6,Member7,Member8,Member9,Member10,Member11,Member12,Member13,Member14,Member15,Member16,Member17,Member18
65,1,0.0964,04a_40_04_Plate5_A1,,,,,,,,,,,,,,,,,
66,1,0.0964,04a_24_01_Plate3_A1,,,,,,,,,,,,,,,,,
67,1,0.0964,04a_24_03_Plate1_F10,,,,,,,,,,,,,,,,,
68,1,0.0961,05b_28_04_Plate6_H12,,,,,,,,,,,,,,,,,
69,1,0.0961,05b_28_05_Plate6_H7,,,,,,,,,,,,,,,,,
70,0.9717,0.0935,05b_32_05_Plate6_H4,05b_36_03_Plate2_F12,,,,,,,,,,,,,,,,
71,1,0.0961,05b_40_02_Plate6_H1,,,,,,,,,,,,,,,,,
72,0.4965,0.0478,05b_36_06_Plate6_G8,05b_36_04_Plate2_B6,,,,,,,,,,,,,,,,
73,1,0.0961,05b_36_07_Plate2_F6,,,,,,,,,,,,,,,,,
74,1,0.0961,05b_40_06_Plate3_F4,,,,,,,,,,,,,,,,,
75,1,0.0961,05b_32_03_Plate6_E5,,,,,,,,,,,,,,,,,
76,0.9838,0.0947,05b_32_02_Plate5_E3,05b_28_03_Plate1_D4,,,,,,,,,,,,,,,,
77,1,0.0961,05b_40_05_Plate7_D12,,,,,,,,,,,,,,,,,
78,1,0.0961,05b_32_06_Plate3_D10,,,,,,,,,,,,,,,,,
79,1,0.0961,05b_28_06_Plate2_D9,,,,,,,,,,,,,,,,,
80,1,0.0961,05b_36_01_Plate2_D5,,,,,,,,,,,,,,,,,
81,1,0.0961,05b_36_05_Plate4_D2,,,,,,,,,,,,,,,,,
82,1,0.0961,05b_40_04_Plate4_C7,,,,,,,,,,,,,,,,,
83,1,0.0961,05b_32_01_Plate5_C5,,,,,,,,,,,,,,,,,
84,1,0.0961,05b_28_02_Plate4_B10,,,,,,,,,,,,,,,,,
85,1,0.0961,05b_40_01_Plate2_B7,,,,,,,,,,,,,,,,,
86,1,0.0961,05b_28_07_Plate5_B5,,,,,,,,,,,,,,,,,
87,1,0.0961,05b_28_01_Plate7_B4,,,,,,,,,,,,,,,,,
88,1,0.0961,05b_36_02_Plate3_A12,,,,,,,,,,,,,,,,,
89,1,0.0961,05b_40_03_Plate3_A11,,,,,,,,,,,,,,,,,
90,1,0.0961,05b_32_04_Plate1_H5,,,,,,,,,,,,,,,,,
91,1,0.0963,06a_36_03_Plate4_H11,,,,,,,,,,,,,,,,,
92,1,0.0963,06a_32_02_Plate6_H8,,,,,,,,,,,,,,,,,
93,1,0.0963,06a_36_02_Plate4_H6,,,,,,,,,,,,,,,,,
94,1,0.0963,06a_40_01_Plate3_G12,,,,,,,,,,,,,,,,,
95,1,0.0963,06a_40_03_Plate3_G9,,,,,,,,,,,,,,,,,
96,1,0.0963,06a_32_03_Plate5_G4,,,,,,,,,,,,,,,,,
97,1,0.0963,06a_20_05_Plate3_E7,,,,,,,,,,,,,,,,,
98,1,0.0963,06a_36_01_Plate5_E7,,,,,,,,,,,,,,,,,
99,1,0.0963,06a_28_01_Plate4_E5,,,,,,,,,,,,,,,,,
100,1,0.0963,06a_20_03_Plate4_D1,,,,,,,,,,,,,,,,,
101,1,0.0963,06a_28_03_Plate7_C7,,,,,,,,,,,,,,,,,
102,1,0.0963,06a_24_01_Plate5_C3,,,,,,,,,,,,,,,,,
103,1,0.0963,06a_28_02_Plate6_B4,,,,,,,,,,,,,,,,,
104,1,0.0963,06a_20_02_Plate3_B4,,,,,,,,,,,,,,,,,
105,1,0.0963,06a_40_04_Plate7_B2,,,,,,,,,,,,,,,,,
106,0.9941,0.0958,06a_24_03_Plate7_B1,06a_40_02_Plate1_H4,20a_36_04_Plate2_G9,20a_24_02_Plate5_D7,20a_40_04_Plate5_A5,20a_24_03_Plate3_A2,,,,,,,,,,,,
107,1,0.0963,06a_24_04_Plate3_B1,,,,,,,,,,,,,,,,,
108,1,0.0963,06a_32_04_Plate4_A7,,,,,,,,,,,,,,,,,
109,1,0.0963,06a_20_01_Plate4_A6,,,,,,,,,,,,,,,,,
110,1,0.0963,06a_28_04_Plate3_A3,,,,,,,,,,,,,,,,,
111,1,0.0963,06a_36_04_Plate1_D12,,,,,,,,,,,,,,,,,
112,1,0.0963,06a_32_01_Plate1_A11,,,,,,,,,,,,,,,,,
113,1,0.0963,06a_24_02_Plate1_C9,,,,,,,,,,,,,,,,,
114,1,0.0963,06a_20_04_Plate1_A8,,,,,,,,,,,,,,,,,
115,0.5024,0.0484,08a_28_04_Plate5_H5,08a_24_04_Plate6_A3,,,,,,,,,,,,,,,,
116,1,0.0961,08a_20_01_Plate5_H4,,,,,,,,,,,,,,,,,
117,1,0.0961,08a_40_04_Plate2_H4,,,,,,,,,,,,,,,,,
118,1,0.0961,08a_40_01_Plate5_G5,,,,,,,,,,,,,,,,,
119,1,0.0961,08a_28_01_Plate7_G4,,,,,,,,,,,,,,,,,
120,1,0.0961,08a_36_03_Plate7_G3,,,,,,,,,,,,,,,,,
121,1,0.0961,08a_32_02_Plate7_F12,,,,,,,,,,,,,,,,,
122,1,0.0961,08a_24_02_Plate6_F9,,,,,,,,,,,,,,,,,
123,1,0.0961,08a_36_01_Plate5_F7,,,,,,,,,,,,,,,,,
124,1,0.0961,08a_40_04_Plate2_F7,,,,,,,,,,,,,,,,,
125,1,0.0961,08a_40_03_Plate5_F1,,,,,,,,,,,,,,,,,
126,1,0.0961,08a_24_03_Plate6_E10,,,,,,,,,,,,,,,,,
127,1,0.0961,08a_20_05_Plate3_E1,,,,,,,,,,,,,,,,,
128,1,0.0961,08a_28_02_Plate7_D9,,,,,,,,,,,,,,,,,
129,1,0.0961,08a_20_03_Plate7_C12,,,,,,,,,,,,,,,,,
130,1,0.0961,08a_32_03_Plate5_C11,,,,,,,,,,,,,,,,,
131,1,0.0961,08a_28_03_Plate2_C4,,,,,,,,,,,,,,,,,
132,1,0.0961,08a_20_04__Plate7_C3,,,,,,,,,,,,,,,,,
133,1,0.0961,08a_20_02_Plate2_C2,,,,,,,,,,,,,,,,,
134,1,0.0961,08a_36_02_Plate7_B9,,,,,,,,,,,,,,,,,
135,1,0.0961,08a_32_04_Plate7_A12,,,,,,,,,,,,,,,,,
136,0.9452,0.091,08a_40_02_Plate1_F7,08a_32_01_Plate1_D5,,,,,,,,,,,,,,,,
137,1,0.0961,08a_36_04_Plate1_E6,,,,,,,,,,,,,,,,,
138,1,0.0961,08a_24_01_Plate1_E3,,,,,,,,,,,,,,,,,
139,0.9325,0.09,09a_28_02_Plate6_H2,09a_36_01_Plate5_B2,,,,,,,,,,,,,,,,
140,0.401,0.0387,09a_32_06_Plate2_G7,09a_28_05_Plate2_F9,,,,,,,,,,,,,,,,
141,1,0.0964,09a_28_06_Plate3_G4,,,,,,,,,,,,,,,,,
142,1,0.0964,09a_36_02_Plate4_G3,,,,,,,,,,,,,,,,,
143,1,0.0964,09a_28_03_Plate7_G1,,,,,,,,,,,,,,,,,
144,1,0.0964,09a_40_03_Plate6_E4,,,,,,,,,,,,,,,,,
145,1,0.0964,09a_40_01_Plate4_D9,,,,,,,,,,,,,,,,,
146,1,0.0964,09a_24_02_Plate7_D8,,,,,,,,,,,,,,,,,
147,1,0.0964,09a_32_01_Plate2_D6,,,,,,,,,,,,,,,,,
148,1,0.0964,09a_24_01_Plate5_D5,,,,,,,,,,,,,,,,,
149,1,0.0964,09a_28_04_Plate6_C1,,,,,,,,,,,,,,,,,
150,1,0.0964,09a_40_04_Plate5_B12,,,,,,,,,,,,,,,,,
151,1,0.0964,09a_32_04_Plate6_B6,,,,,,,,,,,,,,,,,
152,0.9399,0.0908,09a_36_03_Plate5_B4,09a_32_05_Plate4_B3,,,,,,,,,,,,,,,,
153,1,0.0964,09a_32_02_Plate6_A12,,,,,,,,,,,,,,,,,
154,1,0.0964,09a_28_01_Plate2_A9,,,,,,,,,,,,,,,,,
155,1,0.0964,09a_24_04_Plate7_A8,,,,,,,,,,,,,,,,,
156,1,0.0964,09a_40_02_Plate1_E12,,,,,,,,,,,,,,,,,
157,1,0.0964,09a_36_05_Plate1_H11,,,,,,,,,,,,,,,,,
158,1,0.0964,09a_32_03_Plate1_D10,,,,,,,,,,,,,,,,,
159,1,0.0964,09a_28_07_Plate1_D8,,,,,,,,,,,,,,,,,
160,1,0.096,12b_28_02_Plate2_H7,,,,,,,,,,,,,,,,,
161,1,0.096,12b_24_01_Plate3_H6,,,,,,,,,,,,,,,,,
162,1,0.096,12b_20_05_Plate7_H1,,,,,,,,,,,,,,,,,
163,1,0.096,12b_40_01_Plate7_G11,,,,,,,,,,,,,,,,,
164,1,0.096,12b_36_03_Plate2_G11,,,,,,,,,,,,,,,,,
165,1,0.096,12b_28_01_Plate4_G7,,,,,,,,,,,,,,,,,
166,1,0.096,12b_36_05_Plate2_G6,,,,,,,,,,,,,,,,,
167,1,0.096,12b_24_04_Plate4_G5,,,,,,,,,,,,,,,,,
168,1,0.096,12b_20_02_Plate6_G2,,,,,,,,,,,,,,,,,
169,1,0.096,12b_20_01_Plate2_F11,,,,,,,,,,,,,,,,,
170,0.9992,0.0962,12b_28_04_Plate7_F5,12b_40_04_Plate7_C6,12b_36_01_Plate2_C5,,,,,,,,,,,,,,,
171,1,0.096,12b_40_02_Plate4_F4,,,,,,,,,,,,,,,,,
172,1,0.096,12b_28_02_Plate2_E6,,,,,,,,,,,,,,,,,
173,1,0.096,12b_36_02_Plate2_E5,,,,,,,,,,,,,,,,,
174,1,0.096,12b_24_03_Plate6_D12,,,,,,,,,,,,,,,,,
175,0.1726,0.0166,12b_20_04_Plate3_D11,12b_32_03_Plate2_D4,,,,,,,,,,,,,,,,
176,1,0.096,12b_40_03_Plate4_D10,,,,,,,,,,,,,,,,,
177,1,0.096,12b_32_04_Plate6_D5,,,,,,,,,,,,,,,,,
178,1,0.096,12b_36_04_Plate3_C4,,,,,,,,,,,,,,,,,
179,1,0.096,12b_32_02_Plate6_B1,,,,,,,,,,,,,,,,,
180,1,0.096,12b_32_01_Plate7_A7,,,,,,,,,,,,,,,,,
181,1,0.096,12b_28_03_Plate1_F3,,,,,,,,,,,,,,,,,
182,1,0.096,12b_24_02_Plate1_F2,,,,,,,,,,,,,,,,,
183,1,0.096,12b_20_03_Plate1_D1,,,,,,,,,,,,,,,,,
184,1,0.0963,13b_20_02_Plate5_H9,,,,,,,,,,,,,,,,,
185,1,0.0963,13b_28_03_Plate5_H6,,,,,,,,,,,,,,,,,
186,1,0.0963,13b_20_07_Plate2_H5,,,,,,,,,,,,,,,,,
187,1,0.0963,13b_40_03_Plate2_G1,,,,,,,,,,,,,,,,,
188,0.9381,0.0904,13b_40_04_Plate6_F11,13b_20_05_Plate2_E7,,,,,,,,,,,,,,,,
189,0.9281,0.0895,13b_28_04_Plate2_E9,13b_36_01_Plate4_D6,,,,,,,,,,,,,,,,
190,0.6722,0.0648,13b_36_02_Plate4_E8,13b_28_06_Plate1_B8,,,,,,,,,,,,,,,,
191,1,0.0963,13b_28_01_Plate2_D10,,,,,,,,,,,,,,,,,
192,1,0.0963,13b_36_06_Plate6_D8,,,,,,,,,,,,,,,,,
193,1,0.0963,13b_40_05_Plate2_D8,,,,,,,,,,,,,,,,,
194,0.9502,0.0916,13b_20_04_Plate3_D1,13b_40_02_Plate6_A9,,,,,,,,,,,,,,,,
195,1,0.0963,13b_40_06_Plate5_C9,,,,,,,,,,,,,,,,,
196,1,0.0963,13b_36_05_Plate4_C2,,,,,,,,,,,,,,,,,
197,1,0.0963,13b_36_03_Plate5_B9,,,,,,,,,,,,,,,,,
198,1,0.0963,13b_28_02_Plate4_B5,,,,,,,,,,,,,,,,,
199,1,0.0963,13b_20_06_Plate5_B1,,,,,,,,,,,,,,,,,
200,1,0.0963,13b_20_03_Plate6_A10,,,,,,,,,,,,,,,,,
201,0.9496,0.0915,13b_28_05_Plate7_A5,13b_20_01_Plate1_D7,,,,,,,,,,,,,,,,
202,1,0.0963,13b_40_01_Plate1_E10,,,,,,,,,,,,,,,,,
203,1,0.0963,13b_36_04_Plate1_F9,,,,,,,,,,,,,,,,,
204,0.9991,0.113,15b_40_02_Plate4_H8,15b_28_04_Plate3_H4,15b_32_04_Plate3_G11,15b_40_01_Plate3_G10,15b_36_03_Plate6_G4,15b_32_02_Plate3_G2,15b_28_03_Plate3_F10,15b_32_01_Plate6_E11,15b_40_03_Plate6_E3,15b_24_01_Plate6_D9,15b_36_01_Plate2_C3,15b_28_05_Plate3_C1,15b_36_02_Plate5_B10,15b_28_02_Plate2_B1,15b_36_05_Plate7_A4,15b_40_04_Plate1_C4,15b_32_03_Plate1_B2,15b_24_03_Plate1_G12
205,1,0.0964,15b_28_01_Plate7_G5,,,,,,,,,,,,,,,,,
206,1,0.0964,15b_24_04_Plate5_F5,,,,,,,,,,,,,,,,,
207,1,0.0964,15b_24_05_Plate4_E12,,,,,,,,,,,,,,,,,
208,1,0.0964,15b_36_04_Plate2_E12,,,,,,,,,,,,,,,,,
209,1,0.0964,15b_24_02_Plate6_E6,,,,,,,,,,,,,,,,,
210,1,0.0964,15b_32_05_Plate5_B6,,,,,,,,,,,,,,,,,
211,1,0.0963,17a_20_05_Plate7_H2,,,,,,,,,,,,,,,,,
212,1,0.0963,17a_28_02_Plate4_G6,,,,,,,,,,,,,,,,,
213,1,0.0963,17a_40_01_Plate5_G2,,,,,,,,,,,,,,,,,
214,1,0.0963,17a_24_01_Plate5_F11,,,,,,,,,,,,,,,,,
215,0.8913,0.0859,17a_28_04_Plate3_F5,17a_40_02_Plate6_C8,,,,,,,,,,,,,,,,
216,1,0.0963,17a_20_01_Plate6_F2,,,,,,,,,,,,,,,,,
217,0.2053,0.0198,17a_36_02_Plate7_F1,17a_36_03_Plate5_D1,,,,,,,,,,,,,,,,
218,1,0.0963,17a_24_04_Plate3_E9,,,,,,,,,,,,,,,,,
219,1,0.0963,17a_32_03_Plate7_E2,,,,,,,,,,,,,,,,,
220,1,0.0957,17a_28_03_Plate5_D4,,,,,,,,,,,,,,,,,
221,1,0.0957,17a_32_02_Plate2_C8,,,,,,,,,,,,,,,,,
222,1,0.0963,17a_32_04_Plate3_C5,,,,,,,,,,,,,,,,,
223,1,0.0963,17a_24_02_Plate5_B11,,,,,,,,,,,,,,,,,
224,1,0.0963,17a_32_01_Plate6_B10,,,,,,,,,,,,,,,,,
225,1,0.0963,17a_36_04_Plate5_B3,,,,,,,,,,,,,,,,,
226,1,0.0963,17a_40_04_Plate3_B2,,,,,,,,,,,,,,,,,
227,1,0.0963,17a_20_03_Plate5_A8,,,,,,,,,,,,,,,,,
228,1,0.0963,17a_24_03_Plate2_A6,,,,,,,,,,,,,,,,,
229,1,0.0963,17a_20_02_Plate2_A5,,,,,,,,,,,,,,,,,
230,1,0.0963,17a_20_04_Plate4_A2,,,,,,,,,,,,,,,,,
231,1,0.0963,17a_40_03_Plate1_G10,,,,,,,,,,,,,,,,,
232,1,0.0963,17a_36_01_Plate1_G9,,,,,,,,,,,,,,,,,
233,1,0.0963,17a_28_01_Plate1_B7,,,,,,,,,,,,,,,,,
234,0.7726,0.0745,18a_36_03_Plate5_H10,18a_36_04_Plate7_A11,,,,,,,,,,,,,,,,
235,1,0.0963,18a_20_01_Plate6_H9,,,,,,,,,,,,,,,,,
236,0.9885,0.0953,18a_32_01_Plate3_H8,18a_40_01_Plate3_C12,,,,,,,,,,,,,,,,
237,1,0.0963,18a_40_03_Plate7_H4,,,,,,,,,,,,,,,,,
238,1,0.0963,18a_24_03_Plate5_H3,,,,,,,,,,,,,,,,,
239,1,0.0963,18a_36_02_Plate5_G10,,,,,,,,,,,,,,,,,
240,1,0.0963,18a_20_03_Plate7_G2,,,,,,,,,,,,,,,,,
241,1,0.0963,18a_40_02_Plate6_F6,,,,,,,,,,,,,,,,,
242,1,0.0963,18a_20_05_Plate5_F3,,,,,,,,,,,,,,,,,
243,1,0.0963,18a_20_04_Plate7_E6,,,,,,,,,,,,,,,,,
244,1,0.0963,18a_32_03_Plate5_D12,,,,,,,,,,,,,,,,,
245,1,0.0963,18a_28_02_Plate3_D9,,,,,,,,,,,,,,,,,
246,1,0.0963,18a_20_02_Plate5_D3,,,,,,,,,,,,,,,,,
247,1,0.0963,18a_32_04_Plate6_D1,,,,,,,,,,,,,,,,,
248,1,0.0963,18a_40_04_Plate6_B9,,,,,,,,,,,,,,,,,
249,1,0.0963,18a_28_01_Plate3_B6,,,,,,,,,,,,,,,,,
250,1,0.0963,18a_24_01_Plate2_A12,,,,,,,,,,,,,,,,,
251,1,0.0963,18a_28_03_Plate6_A8,,,,,,,,,,,,,,,,,
252,1,0.0963,18a_24_04_Plate6_A2,,,,,,,,,,,,,,,,,
253,1,0.0963,18a_24_02_Plate7_A1,,,,,,,,,,,,,,,,,
254,1,0.0963,18a_36_01_Plate1_D3,,,,,,,,,,,,,,,,,
255,1,0.0963,18a_32_02_Plate1_C2,,,,,,,,,,,,,,,,,
256,1,0.0963,18a_28_04_Plate1_E1,,,,,,,,,,,,,,,,,
257,1,0.0964,19b_32_05_PLate6_H10,,,,,,,,,,,,,,,,,
258,1,0.0964,19b_24_05_Plate4_G9,,,,,,,,,,,,,,,,,
259,1,0.0964,19b_32_03_Plate7_G8,,,,,,,,,,,,,,,,,
260,1,0.0964,19b_40_04_Plate4_F11,,,,,,,,,,,,,,,,,
261,1,0.0964,19b_32_02_Plate3_F11,,,,,,,,,,,,,,,,,
262,1,0.0964,19b_20_04_Plate2_F10,,,,,,,,,,,,,,,,,
263,1,0.0964,19b_28_04_Plate4_F8,,,,,,,,,,,,,,,,,
264,1,0.0964,19b_28_05_Plate4_F3,,,,,,,,,,,,,,,,,
265,1,0.0964,19b_40_03_Plate4_F2,,,,,,,,,,,,,,,,,
266,1,0.0964,19b_28_02_Plate6_E8,,,,,,,,,,,,,,,,,
267,1,0.0964,19b_20_05_Plate4_E2,,,,,,,,,,,,,,,,,
268,1,0.0964,19b_32_04_Plate6_D4,,,,,,,,,,,,,,,,,
269,1,0.0964,19b_20_02_Plate7_C9,,,,,,,,,,,,,,,,,
270,1,0.0964,19b_24_04_Plate4_C9,,,,,,,,,,,,,,,,,
271,1,0.0964,19b_24_02_Plate6_B12,,,,,,,,,,,,,,,,,
272,1,0.0964,19b_40_01_Plate7_B11,,,,,,,,,,,,,,,,,
273,1,0.0964,19b_24_01_Plate3_B11,,,,,,,,,,,,,,,,,
274,1,0.0964,19b_28_01_Plate7_B10,,,,,,,,,,,,,,,,,
275,1,0.0964,19b_20_03_Plate3_B10,,,,,,,,,,,,,,,,,
276,1,0.0964,19b_20_01_Plate2_B5,,,,,,,,,,,,,,,,,
277,1,0.0964,19b_40_02_Plate1_E9,,,,,,,,,,,,,,,,,
278,1,0.0964,19b_32_01_Plate1_G8,,,,,,,,,,,,,,,,,
279,1,0.0964,19b_28_03_Plate1_E7,,,,,,,,,,,,,,,,,
280,1,0.0964,19b_24_03_Plate1_G6,,,,,,,,,,,,,,,,,
281,1,0.0966,20a_32_02_Plate7_H7,,,,,,,,,,,,,,,,,
282,1,0.0966,20a_24_01_Plate3_H7,,,,,,,,,,,,,,,,,
283,0.9945,0.0962,20a_28_05_Plate4_H4,20a_40_03_Plate3_G7,,,,,,,,,,,,,,,,
284,1,0.0966,20a_40_01_Plate4_G12,,,,,,,,,,,,,,,,,
285,1,0.0966,20a_32_05_Plate2_G10,,,,,,,,,,,,,,,,,
286,1,0.0966,20a_32_03_Plate7_E10,,,,,,,,,,,,,,,,,
287,1,0.0966,20a_36_02_Plate3_E8,,,,,,,,,,,,,,,,,
288,1,0.0966,20a_24_05_Plate2_E8,,,,,,,,,,,,,,,,,
289,1,0.0966,20a_32_04_Plate7_D11,,,,,,,,,,,,,,,,,
290,1,0.0966,20a_28_02_Plate6_C5,,,,,,,,,,,,,,,,,
291,1,0.0966,20a_28_01_Plate4_B12,,,,,,,,,,,,,,,,,
292,1,0.0966,20a_28_03_Plate2_A11,,,,,,,,,,,,,,,,,
293,1,0.0966,20a_36_01_Plate6_A6,,,,,,,,,,,,,,,,,
294,1,0.0966,20a_36_05_Plate4_A3,,,,,,,,,,,,,,,,,
295,1,0.0966,20a_40_02_Plate1_E2,,,,,,,,,,,,,,,,,
296,1,0.0966,20a_36_03_Plate1_C1,,,,,,,,,,,,,,,,,
297,1,0.0966,20a_32_01_Plate1_C12,,,,,,,,,,,,,,,,,
298,1,0.0966,20a_24_04_Plate1_C10,,,,,,,,,,,,,,,,,
299,1,0.0964,21a_24_02_Plate2_H12,,,,,,,,,,,,,,,,,
300,1,0.0964,21a_24_03_Plate4_H10,,,,,,,,,,,,,,,,,
301,1,0.0964,21a_36_03_Plate4_H5,,,,,,,,,,,,,,,,,
302,1,0.0964,21a_28_05_Plate2_H1,,,,,,,,,,,,,,,,,
303,1,0.0964,21a_32_05_Plate4_G4,,,,,,,,,,,,,,,,,
304,1,0.0964,21a_32_02_Plate6_G3,,,,,,,,,,,,,,,,,
305,1,0.0964,21a_32_04_Plate5_F9,,,,,,,,,,,,,,,,,
306,1,0.0964,21a_24_01_Plate6_F7,,,,,,,,,,,,,,,,,
307,1,0.0964,21a_28_02_Plate6_F1,,,,,,,,,,,,,,,,,
308,1,0.0964,21a_36_05_Plate3_E11,,,,,,,,,,,,,,,,,
309,1,0.0964,21a_40_01_Plate5_E8,,,,,,,,,,,,,,,,,
310,1,0.0964,21a_28_04_Plate5_E5,,,,,,,,,,,,,,,,,
311,1,0.0964,21a_40_02_Plate2_E4,,,,,,,,,,,,,,,,,
312,1,0.0964,21a_28_03_Plate3_E2,,,,,,,,,,,,,,,,,
313,1,0.0964,21a_40_03_Plate7_D1,,,,,,,,,,,,,,,,,
314,1,0.0964,21a_24_05_Plate6_C7,,,,,,,,,,,,,,,,,
315,1,0.0964,21a_32_01_Plate4_C4,,,,,,,,,,,,,,,,,
316,1,0.0964,21a_36_02_Plate7_B12,,,,,,,,,,,,,,,,,
317,1,0.0964,21a_36_04_Plate3_A8,,,,,,,,,,,,,,,,,
318,1,0.0964,21a_24_04_Plate2_A3,,,,,,,,,,,,,,,,,
