Colony,Block,Treatment,Position,Direction,X,Y,Time_days,Bifurcations,Zooids,rgr40,Offspring,Samples,Survival
31a,2,alone,A,C,50,0,28,,,,260,30,1
32a,2,near,H,S,70,-0.15,28,,,,442,30,1
34b,1,far,B,C,0,0,28,,,,83,26,1
01b,4,both,F,S,130,-1,32,,,,98,30,1
02a,3,both,D,C,110,0,32,,,,5,5,1
03a,3,both,E,N,110,0.15,32,,,,0,0,1
04a,1,both,D,C,10,0,32,,,,50,17,1
05b,4,far,C,N,120,1,32,,,,605,30,1
06a,4,near,H,S,150,-0.15,32,,,,233,30,1
07b,4,both,D,C,130,0,32,,,,0,0,1
08a,3,far,C,S,90,-1,32,,,,96,19,1
09a,2,both,F,S,40,-1,32,,,,15,11,1
10a,3,near,G,C,80,0,32,,,,0,0,1
11a,3,near,H,N,80,0.15,32,,,,0,0,1
12b,2,both,E,S,40,-0.15,32,,,,46,30,1
13b,3,alone,A,C,100,0,32,,,,0,0,1
14a,3,far,B,C,90,0,32,,,,0,0,1
15b,4,both,E,S,130,-0.15,32,,,,125,60,1
17a,4,alone,A,C,140,0,32,,,,248,30,1
18a,1,near,G,C,30,0,32,,,,133,30,1
19b,2,far,C,N,60,1,32,,,,36,30,1
20a,4,near,G,C,150,0,32,,,,127,30,1
21a,1,both,F,N,10,1,32,,,,44,30,1
22a,2,both,D,C,40,0,32,,,,102,30,1
23a,1,alone,A,C,20,0,32,,,,206,30,1
24a,2,far,B,C,60,0,32,,,,0,0,0
25b,1,near,H,N,30,0.15,32,,,,61,30,1
26a,4,far,B,C,120,0,32,,,,88,30,1
27b,1,both,E,N,10,0.15,32,,,,0,0,0
28a,2,near,G,C,70,0,32,,,,214,30,1
29b,1,far,C,S,0,-1,32,,,,138,30,1
30a,3,both,F,N,110,1,32,,,,392,30,1
31a,2,alone,A,C,50,0,32,,,,234,0,1
32a,2,near,H,S,70,-0.15,32,,,,103,30,1
34b,1,far,B,C,0,0,32,,,,50,30,1
01b,4,both,F,S,130,-1,36,,,,206,30,1
02a,3,both,D,C,110,0,36,,,,0,0,1
03a,3,both,E,N,110,0.15,36,,,,0,0,1
04a,1,both,D,C,10,0,36,,,,26,26,1
05b,4,far,C,N,120,1,36,,,,280,30,1
06a,4,near,H,S,150,-0.15,36,,,,69,30,1
07b,4,both,D,C,130,0,36,,,,0,0,1
08a,3,far,C,S,90,-1,36,,,,176,30,1
09a,2,both,F,S,40,-1,36,,,,31,20,1
10a,3,near,G,C,80,0,36,,,,0,0,1
11a,3,near,H,N,80,0.15,36,,,,0,0,1
12b,2,both,E,S,40,-0.15,36,,,,87,30,1
13b,3,alone,A,C,100,0,36,,,,224,30,1
14a,3,far,B,C,90,0,36,,,,0,0,1
15b,4,both,E,S,130,-0.15,36,,,,55,30,1
17a,4,alone,A,C,140,0,36,,,,35,30,1
18a,1,near,G,C,30,0,36,,,,99,30,1
19b,2,far,C,N,60,1,36,,,,173, ,1
20a,4,near,G,C,150,0,36,,,,61,30,1
21a,1,both,F,N,10,1,36,,,,45,30,1
22a,2,both,D,C,40,0,36,,,,27,26,1
23a,1,alone,A,C,20,0,36,,,,207,30,1
24a,2,far,B,C,60,0,36,,,,0,0,0
25b,1,near,H,N,30,0.15,36,,,,49,20,1
26a,4,far,B,C,120,0,36,,,,44,27,1
27b,1,both,E,N,10,0.15,36,,,,0,0,0
28a,2,near,G,C,70,0,36,,,,49,30,1
29b,1,far,C,S,0,-1,36,,,,122,30,1
30a,3,both,F,N,110,1,36,,,,83,30,1
